codigo	localidade	complemento
BR 24-0001	GUARÁ	GUARÁ I
BR 24-0002	TERCEIRA AVENIDA	ÁREA ESPECIAL 6
BR 24-0003	CRUZEIRO VELHO	ÁREA ESPECIAL
BR 24-0004	SÃO SEBASTIÃO	AGROVILA CAPÃO SECO
BR 24-0005	BRAZLÂNDIA	ÁREA ESPECIAL 2
BR 24-0006	CEILÂNDIA-NORTE	QNN 5
BR 24-0007	CEILÂNDIA-SUL	QNM 29 - MÓDULO H
BR 24-0008	GAMA	SETOR CENTRAL
BR 24-0009	PARANOÁ	SOBRADINHO DOS MELOS
BR 24-0010	BRAZLÂNDIA	INCRA 8
BR 24-0012	SOBRADINHO	CENTRO
BR 24-0013	TAGUATINGA	QNC 11 - ÁREA ESPECIAL 7
BR 24-0014	PARANOÁ	QUADRA 30 - CONJUNTO D - LOTES 28 E 29
BR 24-0015	SOBRADINHO	FAZENDA CÓRREGO DO OURO
BR 24-0016	CEILÂNDIA-NORTE	SETOR P - NORTE
BR 24-0018	CEILÂNDIA-NORTE	SETOR O
BR 24-0019	SOBRADINHO	FAZENDA CÓRREGO DO MEIO
BR 24-0021	CEILÂNDIA-SUL	SETOR P SUL
BR 24-0022	GAMA	SETOR SUL
BR 24-0023	CANDANGOLÂNDIA	CANDANGOLÂNDIA
BR 24-0024	SOBRADINHO	CONDOMÍNIO FERCAL - ENGENHO VELHO
BR 24-0027	ÁGUAS CLARAS	AREAL
BR 24-0028	SAMAMBAIA	QR 423
BR 24-0029	SÃO SEBASTIÃO	SETOR TRADICIONAL
BR 24-0030	CEILÂNDIA-NORTE	SETOR Q
BR 24-0031	PLANALTINA	BURITIS III - SETOR RESIDENCIAL LESTE
BR 24-0033	SOBRADINHO	SOBRADINHO II
BR 24-0034	GAMA	SETOR LESTE
BR 24-0036	PLANALTINA	JARDIM RORIZ
BR 24-0037	CEILÂNDIA-NORTE	SETOR PRIVÊ
BR 24-0038	SAMAMBAIA	QN 306
BR 24-0039	SANTA MARIA	CL 118 - BLOCO K
BR 24-0040	GAMA	PONTE ALTA DE CIMA
BR 24-0041	SANTA MARIA	CL 517 - BLOCO B
BR 24-0042	SAMAMBAIA	QR 429
BR 24-0043	RECANTO DAS EMAS	QUADRA 302 - CONJUNTO 8 - LOTE 4
BR 24-0044	LAGO NORTE	VARJÃO DO TORTO
BR 24-0045	GAMA	DVO
BR 24-0046	GAMA	PONTE ALTA NORTE
BR 24-0047	RIACHO FUNDO	RIACHO FUNDO I
BR 24-0049	SOBRADINHO	VILA RABELO
BR 24-0050	PLANALTINA	SETOR MANSÕES ITIQUIRA
BR 24-0051	CEILÂNDIA-NORTE	CONDOMÍNIO VISTA BELA
BR 24-0052	RIACHO FUNDO	RIACHO FUNDO II
BR 24-0054	GUARÁ	GUARÁ II
BR 24-0055	PLANALTINA	ARAPOANGA
BR 24-0057	SANTA MARIA	QUADRA 212/312
BR 24-0058	SAMAMBAIA	QN 309
BR 24-0059	RECANTO DAS EMAS	QUADRA 401 - CONJUNTO 3 - CASA 10
