quantidade	codigo	descricao	valor
79	B-1	BÍBLIA MÉDIA, SEM ÍNDICE	35
7	B-13	BÍBLIA MINI, DOURADA, ÍNDICE, BRANCA	22
70	B-14	BÍBLIA MÉDIA, DICION., CONCORD., RECOURO, ÍNDICE	50
28	B-15	BÍBLIA MÉDIA, CAPA MOLE, PAPEL LAMINADO 	25
0	B-16	BÍBLIA C/ HINÁRIO MÉDIA, CAPA RECOURO, ÍNDICE	50
114	B-17	BÍBLIA C/ HINÁRIO PEQUENA, CAPA RECOURO, ÍNDICE	40
144	B-18	BÍBLIA C/ HINÁRIO LETRA GRANDE, CONCORD, DICIONÁRIO	65
0	B-19	BÍBLIA LETRA GRANDE E HINÁRIO	60
0	B-1E	BIBLIA ESPANHOL	30
3	B-1FR	BIBLÍA FRANCÊS	30
70	B-21	BÍBLIA C/ HINÁRIO MUSICAL	35
80	B-22	BÍBLIA C/ HINÁRIO MUSICAL, CAPA PRETA-TAM 100X130 MM.	40
0	B-23	BÍBLIA C/ HINÁRIO MUSICAL, CAPA BRANCA-TAM 100X130 MM.	30
45	B-3	BÍBLIA MÉDIA, DOURADA, RECOURO,  ÍNDICE	40
6	B-3E	BIBLIA ESPANHOL -  RECOURO	40
6	B-3ING	BÍBLIA INGLÊS, RECOURO, BEIRA DOURADA,FORMATO 14X21	80
0	B-3ITA	BÍBLIA ITALIANA, RECOURO, BEIRA DOURADA,FORMATO 14X21	75
44	B-5L	BÍBLIA GRANDE, PÚLPITO, BEIRA DOURADA	100
56	B-6	BÍBLIA MINI, DOURADA, ÍNDICE, PRETA	22
0	B-7E	BIBLIA DE PULPITO ESPANHOL	60
2	B-7ITA	BÍBLIA ITALIANA, RECOURO, BEIRA DOURADA,FORMATO 16X23	80
125	B-8	BÍBLIA MÉDIA, LETRAS GDES, ÍNDICE, DICION.,CONCORD.	60
122	B-9	BÍBLIA PEQUENA, DOURADA, RECOURO, ÍNDICE	25
3	B-PORT/ING	BÍBLIA PORTUGUÊS / INGLÊS	80
