quantidade	codigo	descricao	valor
79	B-1	BÍBLIA MÉDIA, SEM ÍNDICE	3500
7	B-13	BÍBLIA MINI, DOURADA, ÍNDICE, BRANCA	2200
70	B-14	BÍBLIA MÉDIA, DICION., CONCORD., RECOURO, ÍNDICE	5000
28	B-15	BÍBLIA MÉDIA, CAPA MOLE, PAPEL LAMINADO 	2500
0	B-16	BÍBLIA C/ HINÁRIO MÉDIA, CAPA RECOURO, ÍNDICE	5000
114	B-17	BÍBLIA C/ HINÁRIO PEQUENA, CAPA RECOURO, ÍNDICE	4000
144	B-18	BÍBLIA C/ HINÁRIO LETRA GRANDE, CONCORD, DICIONÁRIO	6500
0	B-19	BÍBLIA LETRA GRANDE E HINÁRIO	6000
0	B-1E	BIBLIA ESPANHOL	3000
3	B-1FR	BIBLÍA FRANCÊS	3000
70	B-21	BÍBLIA C/ HINÁRIO MUSICAL	3500
80	B-22	BÍBLIA C/ HINÁRIO MUSICAL, CAPA PRETA-TAM 100X130 MM.	4000
0	B-23	BÍBLIA C/ HINÁRIO MUSICAL, CAPA BRANCA-TAM 100X130 MM.	3000
45	B-3	BÍBLIA MÉDIA, DOURADA, RECOURO,  ÍNDICE	4000
6	B-3E	BIBLIA ESPANHOL -  RECOURO	4000
6	B-3ING	BÍBLIA INGLÊS, RECOURO, BEIRA DOURADA,FORMATO 14X21	8000
0	B-3ITA	BÍBLIA ITALIANA, RECOURO, BEIRA DOURADA,FORMATO 14X21	7500
44	B-5L	BÍBLIA GRANDE, PÚLPITO, BEIRA DOURADA	10000
56	B-6	BÍBLIA MINI, DOURADA, ÍNDICE, PRETA	2200
0	B-7E	BIBLIA DE PULPITO ESPANHOL	6000
2	B-7ITA	BÍBLIA ITALIANA, RECOURO, BEIRA DOURADA,FORMATO 16X23	8000
125	B-8	BÍBLIA MÉDIA, LETRAS GDES, ÍNDICE, DICION.,CONCORD.	6000
122	B-9	BÍBLIA PEQUENA, DOURADA, RECOURO, ÍNDICE	2500
3	B-PORT/ING	BÍBLIA PORTUGUÊS / INGLÊS	8000
