quantidade	codigo	descricao	valor
6	HC10103	HINÁRIO CANTO ESPANHOL MÉDIO	15
8	HC10105	HINÁRIO CANTO ESPANHOL GRANDE	25
490	HC-101P	HINÁRIO DE CANTO, CAPA PRETA, PEQUENO	10
121	HC-102P	HINÁRIO DE CANTO, CAPA RECOURO PRETO, PEQUENO	14
72	HC-103P	HINÁRIO DE CANTO, CAPA DURA PRETO, GRANDE	15
348	HC-105P	HINÁRIO DE CANTO, CAPA RECOURO PRETO, GRANDE	20
10	HC11103	HIN.CANTO INGLÊS - INTERNACIONAL - CAPA DURA	18
9	HC11115	HIN.CANTO - INGL./PORT - INTERNACIONAL PEQUENO	35
3	HC-12-103	HINÁRIO DE CANTO FRANCÊS, CAPA DURA PRETO	18
9	HC13-105	HINÁRIO DE CANTO GRANDE - ITALIANO	32
2	HC14-115	HINÁRIO DE CANTO JAPONÊS - HIRAGANA/KANJI & ROMAJI	35
48	HC-205	HINÁRIO DE CANTO, CAPA RECOURO PRETO, EXTRA GRANDE	30
110	HC-206	HINÁRIO DE CANTO - PÚLPITO	30
50	HC-441	HINÁRIO INFANTIL COM LETRA MAIÚSCULA	5
5	HC-BV	HINÁRIO CANTO - BAIXA VISÃO	63
