quantidade	codigo	descricao	valor
142	HM-102	HINÁRIO DE MÚSICA, MÉDIO – DÓ	30
101	HM-109	HINÁRIO DE MÚSICA, MÉDIO – ORGÃO	40
0	HM-110	HINÁRIO DE MÚSICA, MÉDIO – SI BEMOL	30
36	HM-111	HINÁRIO DE MÚSICA, MÉDIO – MI BEMOL	30
7	HM11-102	HINÁRIO DE MÚSICA EM DÓ - INGLÊS - GRANDE	25
4	HM11-113	HINÁRIO DE MÚSICA,MÉDIO - CORDAS - INGLÊS	40
0	HM-113	HINÁRIO DE MÚSICA, MÉDIO – CORDAS	35
11	HM-116	HINÁRIO DE MÚSICA, MÉDIO - FÁ	30
55	HM-117	HINÁRIO PARA TUBA	30
4	HM-12-102	HINÁRIO DE MÚSICA - DÓ - FRANCÊS	30
5	HM13-102	HINARIO DE MÚSICA  DÓ, MEDIO - ITALIANO	113
3	HM13-109	HINARIO DE MÚSICA  PARA ORGANISTA - ITALIANO	113
3	HM13-110	HINARIO DE MÚSICA SI-BEMOL - ITALIANO	113
3	HM13-111	HINARIO DE MÚSICA MI-BEMOL - ITALIANO	113
2	HM13-113	HINARIO DE MÚSICA CORDAS - ITALIANO	113
84	HM-202	HINÁRIO DE MÚSICA, PEQUENO – DÓ	20
0	HM-209	HINÁRIO DE MÚSICA, PEQUENO – ORGÃO	25
192	HM-210	HINÁRIO DE MÚSICA, PEQUENO – SI BEMOL	25
222	HM-211	HINÁRIO DE MÚSICA, PEQUENO – MI BEMOL	25
23	HM-213	HINÁRIO DE MÚSICA, PEQUENO – CORDAS	28
37	HM-302	HINÁRIO DE MÚSICA, GRANDE – DÓ	45
87	HM-309	HINÁRIO DE MÚSICA, GRANDE – ORGÃO	55
14	HM-313	HINÁRIO DE MÚSICA, GRANDE – CORDAS	50
9	HM-414	HINÁRIO DE MÚSICA, GIGANTE – SOL	60
9	HM-415	HINÁRIO DE MÚSICA, GIGANTE – FÁ	60
23	HM-502B	HINÁRIO DE MÚSICA, MINI – DÓ	15
56	HM-502P	HINÁRIO DE MÚSICA, MINI – DÓ	15
